	learn:jqzx.csv check xkd.csv:49:【解局】美国的“台湾旅行法”到底是个什么鬼？     	 Result: 	0.30696332883986766 	456 	167



  	class: 卖  	d: 11  	pt: 2.0  	diff:  售卖A0.21428571428571427 货A0.07142857142857142 卖A0.7142857142857143 售B1.0
  	class: 撞  	d: 18  	pt: 1.2999999999999998  	diff:  碰撞A0.3 拍AB0.65 相撞A0.15 撞击A0.2
  	class: 成为  	d: 8  	pt: 1.246153846153846  	diff:  化A0.5692307692307692 成AB0.6230769230769231 变为A0.028846153846153848 改为A0.01730769230769231 化为A0.007692307692307693
  	class: 保护  	d: 7  	pt: 1.1935483870967742  	diff:  保护A0.5967741935483871 维护AB0.5967741935483871
  	class: 管保  	d: 16  	pt: 1.1842900302114803  	diff:  包A0.2809667673716012 确保A0.3081570996978852 保证AB0.5921450151057401 保A0.0030211480362537764
  	class: 工作  	d: 13  	pt: 1.1584158415841586  	diff:  事情A0.551980198019802 业务AB0.5792079207920793 做事A0.01485148514851485 干活A0.0024752475247524753 事务A0.007425742574257425 行事A0.0024752475247524753
  	class: 地形  	d: 6  	pt: 1.1428571428571428  	diff:  势A0.2857142857142857 地形A0.2857142857142857 形势AB0.5714285714285714
  	class: 可以  	d: 7  	pt: 1.1428571428571428  	diff:  足以A0.5714285714285714 得以AB0.5714285714285714
  	class: 推动  	d: 12  	pt: 1.082437275985663  	diff:  有助于A0.32974910394265233 推A0.1935483870967742 推动AB0.010752688172043001 推进AB0.19713261648745517 推向A0.017921146953405017 助长B0.3333333333333333
  	class: 停止  	d: 26  	pt: 1.0819672131147542  	diff:  停止AB0.540983606557377 终止A0.4262295081967213 停A0.03278688524590164 住A0.06557377049180328 平息A0.01639344262295082
  	class: 违背  	d: 9  	pt: 1.076923076923077  	diff:  背离A0.3076923076923077 违背A0.23076923076923078 违反AB0.5384615384615384
  	class: 标准  	d: 12  	pt: 1.0464547677261613  	diff:  条件AB0.047921760391198054 基准A0.34474327628361856 原则AB0.4753056234718826 尺度A0.1784841075794621
  	class: 意味  	d: 9  	pt: 1.0258823529411767  	diff:  代表AB0.5129411764705882 意味着A0.49411764705882355 意味A0.009411764705882352 味道A0.007058823529411765 寓意A0.002352941176470588
  	class: 异  	d: 3  	pt: 1.0  	diff:  外AB0.5 客A0.5
  	class: 岛屿  	d: 6  	pt: 1.0  	diff:  岛屿A0.5 岛AB0.5
  	class: 签字  	d: 8  	pt: 1.0  	diff:  签署AB0.5 签名A0.25 签约A0.25
  	class: 损坏  	d: 10  	pt: 1.0  	diff:  破坏AB0.30000000000000004 损坏A0.2 毁B0.5
  	class: 交往  	d: 8  	pt: 1.0  	diff:  走动A0.5 交往AB0.5
  	class: 忍耐  	d: 10  	pt: 1.0  	diff:  容忍AB0.5 耐A0.25 控制力A0.25
  	class: 挟制  	d: 6  	pt: 1.0  	diff:  强制AB0.5 要挟B0.5
  	class: 分裂  	d: 7  	pt: 1.0  	diff:  分裂AB0.5 瓦解A0.5
  	class: 使用  	d: 14  	pt: 0.9975990396158463  	diff:  采用A0.2809123649459784 利用AB0.16506602641056423 用到A0.05162064825930372 动用AB0.49879951980792314 行使A0.0012004801920768306
  	class: 混淆  	d: 11  	pt: 0.9514563106796117  	diff:  混淆A0.47572815533980584 模糊AB0.47572815533980584
  	class: 制造  	d: 6  	pt: 0.9285714285714286  	diff:  制造AB0.4642857142857143 打造A0.4642857142857143
  	class: 发生  	d: 8  	pt: 0.922077922077922  	diff:  发生AB0.4545454545454546 发出AB0.21103896103896103 时有发生A0.006493506493506494 闹B0.25
  	class: 涉及  	d: 14  	pt: 0.9132569558101472  	diff:  涉及A0.23895253682487724 提到A0.19312602291325695 关系AB0.45662847790507366 关乎A0.008183306055646482 干A0.014729950900163666 涉A0.0016366612111292963
  	class: 围绕  	d: 11  	pt: 0.8775510204081634  	diff:  围绕AB0.3979591836734694 圈A0.02040816326530612 环AB0.4387755102040816 环绕A0.02040816326530612
  	class: 实行  	d: 11  	pt: 0.8584615384615384  	diff:  执行AB0.23076923076923073 实践A0.11076923076923077 实施AB0.42923076923076925 行A0.08461538461538462 执A0.0015384615384615385 实行A0.0015384615384615385
  	class: 态度  	d: 6  	pt: 0.7692307692307692  	diff:  态度A0.3269230769230769 姿态AB0.3846153846153846 态势A0.057692307692307696
  	class: 声称  	d: 6  	pt: 0.7333333333333334  	diff:  声明AB0.18333333333333335 声称AB0.3666666666666667 宣称A0.13333333333333333 宣示A0.05
  	class: 头领  	d: 15  	pt: 0.6666666666666667  	diff:  领导人AB0.33333333333333337 头儿A0.3333333333333333
  	class: 过分  	d: 8  	pt: 0.6666666666666667  	diff:  过度AB0.33333333333333337 过分A0.2857142857142857 过头A0.047619047619047616
  	class: 希望  	d: 23  	pt: 0.615126050420168  	diff:  希望AB0.30756302521008405 期望A0.22521008403361345 期待A0.043697478991596636 意在A0.005042016806722689 梦想A0.021848739495798318 期A0.011764705882352941
  	class: 出席  	d: 11  	pt: 0.6086956521739131  	diff:  临场A0.043478260869565216 出席A0.21739130434782608 参加AB0.30434782608695654 在场A0.043478260869565216
  	class: 进行  	d: 6  	pt: 0.537037037037037  	diff:  展开AB0.2685185185185185 拓展AB0.2685185185185185
  	class: 表达  	d: 5  	pt: 0.5340909090909092  	diff:  表达AB0.2670454545454546 表述A0.11931818181818182 发挥A0.14772727272727273
  	class: 趋向  	d: 4  	pt: 0.5  	diff:  趋于AB0.25 趋A0.125 趋向A0.125
  	class: 对  	d: 6  	pt: 0.4838709677419355  	diff:  面对AB0.24193548387096775 相向A0.016129032258064516 面A0.11290322580645161 劈A0.11290322580645161
  	class: 专家  	d: 5  	pt: 0.4808743169398908  	diff:  学者A0.22404371584699453 专家AB0.2404371584699454 学家A0.01639344262295082
  	class: 宣布  	d: 11  	pt: 0.46745562130177515  	diff:  揭示A0.07988165680473373 发布AB0.23372781065088755 公布A0.12130177514792899 宣告A0.011834319526627219 揭晓A0.008875739644970414 颁发A0.005917159763313609 昭示A0.0029585798816568047 颁布A0.0029585798816568047
  	class: 意义  	d: 2  	pt: 0.43113772455089827  	diff:  含义A0.2155688622754491 意义AB0.21556886227544914
  	class: 算  	d: 5  	pt: 0.42105263157894735  	diff:  当成AB0.21052631578947367 算作A0.15789473684210525 不失为A0.05263157894736842
  	class: 遭受  	d: 20  	pt: 0.39252336448598135  	diff:  面临AB0.19626168224299068 备受A0.06542056074766354 遭遇A0.037383177570093455 饱受A0.028037383177570093 中A0.018691588785046728 遭受A0.037383177570093455 遭A0.009345794392523364
  	class: 打搅  	d: 8  	pt: 0.34782608695652173  	diff:  干扰AB0.17391304347826086 扰乱A0.17391304347826086
  	class: 愿望  	d: 5  	pt: 0.28571428571428575  	diff:  意愿AB0.1428571428571429 愿望A0.14285714285714285
  	class: 打算  	d: 7  	pt: 0.26760563380281693  	diff:  打算A0.13380281690140844 试图AB0.1338028169014085
  	class: 舍弃  	d: 8  	pt: 0.26086956521739135  	diff:  放弃AB0.13043478260869568 舍弃A0.13043478260869565
  	class: 办公  	d: 2  	pt: 0.25  	diff:  办公室AB0.125 办公A0.125
  	class: 法律  	d: 7  	pt: 0.21428571428571425  	diff:  法律AB0.1071428571428571 法规A0.10714285714285714
  	class: 撑持  	d: 5  	pt: 0.1727748691099476  	diff:  支持AB0.08638743455497377 支撑A0.08638743455497382
  	class: 韬略  	d: 3  	pt: 0.1363636363636364  	diff:  战略AB0.06818181818181823 战略性A0.06818181818181818
  	class: 想法  	d: 8  	pt: 0.1333333333333333  	diff:  动机AB0.06666666666666665 心思A0.06666666666666667
  	class: 导致  	d: 9  	pt: 0.13215859030837002  	diff:  导致AB0.06607929515418498 招致A0.004405286343612335 促成A0.022026431718061675 招A0.030837004405286344 致使A0.00881057268722467
  	class: 角度  	d: 4  	pt: 0.12121212121212115  	diff:  角度AB0.06060606060606055 出发点A0.05454545454545454 着眼点A0.006060606060606061
  	class: 带动  	d: 5  	pt: 0.11111111111111113  	diff:  带来AB0.05555555555555558 带动A0.05092592592592592 拉动A0.004629629629629629
  	class: 合法  	d: 3  	pt: 0.11111111111111113  	diff:  官方AB0.05555555555555558 法定A0.037037037037037035 合法A0.018518518518518517
  	class: 审查  	d: 14  	pt: 0.10869565217391305  	diff:  核AB0.05434782608695654 审核A0.043478260869565216 核对A0.010869565217391304
  	class: 邀请  	d: 10  	pt: 0.10526315789473689  	diff:  邀请AB0.052631578947368474 诚邀A0.05263157894736842
  	class: 被  	d: 7  	pt: 0.10126582278481017  	diff:  受AB0.05063291139240511 深受A0.05063291139240506
  	class: 合算  	d: 8  	pt: 0.09756097560975614  	diff:  划算A0.04878048780487805 经济AB0.04878048780487809
  	class: 长  	d: 4  	pt: 0.09523809523809529  	diff:  条AB0.04761904761904767 长条A0.047619047619047616
  	class: 会议  	d: 3  	pt: 0.07894736842105264  	diff:  会议AB0.03947368421052633 集会A0.039473684210526314
  	class: 下棋  	d: 6  	pt: 0.078125  	diff:  博弈AB0.0390625 下棋A0.0234375 对弈A0.015625
  	class: 时间  	d: 8  	pt: 0.07314285714285716  	diff:  时间AB0.03657142857142859 时空A0.036571428571428574
  	class: 消息  	d: 6  	pt: 0.07272727272727274  	diff:  新闻AB0.036363636363636376 资讯A0.01818181818181818 情报A0.01818181818181818
  	class: 情况  	d: 8  	pt: 0.07072135785007072  	diff:  情况AB0.03536067892503536 情形A0.024045261669024046 图景A0.011315417256011316
  	class: 错误  	d: 16  	pt: 0.06593406593406592  	diff:  错误AB0.03296703296703296 荒谬A0.016483516483516484 谬误A0.016483516483516484
  	class: 包括  	d: 9  	pt: 0.06299212598425202  	diff:  包括AB0.03149606299212604 概括A0.01889763779527559 席卷A0.0031496062992125984 囊括A0.007874015748031496 总括A0.0015748031496062992
  	class: 访问  	d: 10  	pt: 0.06299212598425202  	diff:  访问AB0.03149606299212604 拜访A0.031496062992125984
  	class: 月  	d: 3  	pt: 0.05882352941176471  	diff:  月份AB0.02941176470588236 月度A0.029411764705882353
  	class: 次序  	d: 7  	pt: 0.05323193916349811  	diff:  程序AB0.026615969581749055 次序A0.0038022813688212928 序A0.022813688212927757
  	class: 真情  	d: 4  	pt: 0.050000000000000024  	diff:  事实AB0.025000000000000022 实情A0.025
  	class: 登载  	d: 12  	pt: 0.03478260869565218  	diff:  发表AB0.017391304347826098 刊A0.008695652173913044 刊登A0.008695652173913044
  	class: 基础  	d: 9  	pt: 0.02020202020202016  	diff:  基础AB0.010101010101010055 根基A0.005050505050505051 功底A0.005050505050505051
  	class: 内情  	d: 10  	pt: 0.017094017094017065  	diff:  背景AB0.008547008547008517 虚实A0.008547008547008548
  	class: 原因  	d: 12  	pt: 0.011428571428571385  	diff:  原因AB0.005714285714285672 缘故A0.005714285714285714
  	class: 怀念  	d: 21  	pt: 0.007194244604316525  	diff:  想AB0.003597122302158251 纪念A0.0035971223021582736
  	class: 相持  	d: 10  	pt: 0.004424778761061895  	diff:  对抗AB0.0022123893805309214 对阵A0.0022123893805309734
  	class: 新  	d: 9  	pt: 0.002192982456140382  	diff:  新AB0.0010964912280702066 独创性A0.0010964912280701754
