learn:jqzx.csv check Article65:七宗罪：我们是如何错误预估人工智能的 	 Result: 	0.2044837352396336 	1666 	572
  	class: 集合  	d: 28  	pt: 1.9917012448132778  	diff:  集合A0.6680497925311203 集A0.008298755186721992 聚合A0.2157676348547718 聚拢AB0.995850622406639 聚集A0.05394190871369295 汇聚A0.004149377593360996 集聚A0.012448132780082987 成团A0.004149377593360996 聚A0.012448132780082987 集结A0.004149377593360996 汇A0.012448132780082987
  	class: 趋势  	d: 13  	pt: 1.9821826280623607  	diff:  方向A0.7750556792873051 趋势A0.1915367483296214 大势A0.0022271714922048997 可行性A0.0200445434298441 大方向AB0.9910913140311804 动向A0.0022271714922048997
  	class: 杰出  	d: 36  	pt: 1.9714285714285713  	diff:  典型A0.7642857142857142 超人AB0.9857142857142858 杰出A0.19285714285714287 出众A0.014285714285714285 榜首A0.014285714285714285
  	class: 影  	d: 5  	pt: 1.9666666666666666  	diff:  投影A0.75 阴影A0.16666666666666666 影子AB0.9833333333333333 暗影A0.06666666666666667
  	class: 退步  	d: 13  	pt: 1.9555555555555555  	diff:  落后A0.37777777777777777 滞后A0.022222222222222223 向下A0.17777777777777778 退化A0.35555555555555557 后退A0.022222222222222223 落伍AB0.9777777777777777 倒退A0.022222222222222223
  	class: 下棋  	d: 6  	pt: 1.953125  	diff:  博弈A0.9609375 下棋AB0.9765625 对弈A0.015625
  	class: 体裁  	d: 4  	pt: 1.9524752475247524  	diff:  体A0.9762376237623762 样式AB0.9762376237623762
  	class: 辨别  	d: 13  	pt: 1.9509918319719954  	diff:  识别A0.7981330221703618 辨别A0.009334889148191364 分辨AB0.9754959159859977 辨认A0.007001166861143524 判别A0.11318553092182031 鉴别A0.0338389731621937 可辨A0.002333722287047841 辨识A0.011668611435239206
  	class: 抛弃  	d: 27  	pt: 1.9473684210526314  	diff:  丢弃A0.5263157894736842 丢A0.02631578947368421 丢掉AB0.4736842105263158 抛弃A0.18421052631578946 抛A0.07894736842105263 撇开A0.05263157894736842 摒弃A0.02631578947368421 摈弃A0.02631578947368421 抛开A0.05263157894736842 扔B0.5
  	class: 就是  	d: 9  	pt: 1.941176470588235  	diff:  视为A0.9411764705882353 算得AB0.9705882352941176 便是A0.029411764705882353
  	class: 照射  	d: 10  	pt: 1.9386503067484662  	diff:  映射A0.9202453987730062 投AB0.9693251533742331 投射A0.049079754601226995
  	class: 界线  	d: 10  	pt: 1.9253731343283582  	diff:  边界A0.9626865671641791 边际AB0.9626865671641791
  	class: 精巧  	d: 22  	pt: 1.9230769230769231  	diff:  精细A0.7307692307692307 精妙A0.07692307692307693 精巧A0.15384615384615385 精密AB0.9615384615384616
  	class: 特征  	d: 6  	pt: 1.9067894131185272  	diff:  特征A0.6996547756041427 特性AB0.9533947065592635 表征A0.25028768699654774 特色A0.0034522439585730723
  	class: 挑选  	d: 26  	pt: 1.8989898989898988  	diff:  选择A0.8715728715728716 选项AB0.6161616161616161 选取A0.04329004329004329 挑选A0.023088023088023088 取舍A0.004329004329004329 选A0.005772005772005772 拣选A0.001443001443001443 甄选B0.3333333333333333
  	class: 节拍  	d: 6  	pt: 1.8904109589041096  	diff:  音频A0.6986301369863014 节奏AB0.9452054794520548 韵律A0.2465753424657534
  	class: 消除  	d: 43  	pt: 1.8641975308641978  	diff:  免去A0.018518518518518517 解除A0.030864197530864196 排AB0.9320987654320988 排除A0.08641975308641975 脱A0.006172839506172839 解A0.46296296296296297 去掉A0.08024691358024691 消除A0.1728395061728395 打消A0.006172839506172839 散A0.012345679012345678 清除A0.024691358024691357 破除A0.006172839506172839 破A0.012345679012345678 消A0.012345679012345678
  	class: 互相  	d: 11  	pt: 1.8402777777777777  	diff:  并行A0.2708333333333333 交互A0.6493055555555556 相AB0.9201388888888888
  	class: 弄错  	d: 10  	pt: 1.84  	diff:  出错A0.56 失误A0.08 串A0.12 弄错A0.16 离谱AB0.92
  	class: 外出  	d: 6  	pt: 1.8181818181818183  	diff:  出门A0.8181818181818182 外出A0.09090909090909091 飞往AB0.9090909090909091
  	class: 武器  	d: 15  	pt: 1.8181818181818181  	diff:  武器A0.8181818181818182 家伙AB0.9090909090909091 器械A0.09090909090909091
  	class: 促使  	d: 3  	pt: 1.8181818181818181  	diff:  促使A0.7272727272727273 驱使AB0.9090909090909091 敦促A0.18181818181818182
  	class: 感谢  	d: 9  	pt: 1.8095238095238095  	diff:  感谢A0.8571428571428571 感AB0.9047619047619048 致谢A0.047619047619047616
  	class: 缺少  	d: 14  	pt: 1.8  	diff:  缺乏A0.26875 缺失A0.21875 缺少AB0.9 短A0.29375 短缺A0.00625 欠A0.09375 缺A0.00625 紧缺A0.0125
  	class: 相同  	d: 29  	pt: 1.8  	diff:  等效A0.4 平等A0.3 无异AB0.9 等同A0.2
  	class: 传播  	d: 21  	pt: 1.7999999999999998  	diff:  传感A0.225 扩散A0.3 传来A0.075 传入A0.3 传到AB0.9
  	class: 延长  	d: 4  	pt: 1.789473684210526  	diff:  延伸A0.8421052631578947 拉开A0.05263157894736842 延长AB0.8947368421052632
  	class: 本来  	d: 12  	pt: 1.7682119205298013  	diff:  原本AB0.31015452538631344 原始A0.6887417218543046 旧AB0.2770419426048565 原A0.19536423841059603 原有AB0.29690949227373065
  	class: 途径  	d: 10  	pt: 1.7444933920704846  	diff:  路径A0.8722466960352423 路线AB0.5917767988252569 途径AB0.2804698972099853
  	class: 阐明  	d: 8  	pt: 1.7444444444444447  	diff:  发明AB0.8722222222222222 表A0.8333333333333334 阐明A0.03888888888888889
  	class: 注意  	d: 17  	pt: 1.726027397260274  	diff:  小心AB0.363013698630137 留意A0.0273972602739726 专注A0.7671232876712328 在意A0.0684931506849315 留神B0.5
  	class: 探究  	d: 8  	pt: 1.7227722772277227  	diff:  探索A0.858085808580858 探讨AB0.8613861386138614 深究A0.0033003300330033004
  	class: 发作  	d: 4  	pt: 1.7037037037037037  	diff:  作A0.5740740740740741 发A0.2777777777777778 犯AB0.8518518518518519
  	class: 遗失  	d: 8  	pt: 1.6825396825396826  	diff:  少A0.7777777777777778 丢失AB0.8412698412698413 掉A0.05555555555555555 遗失A0.007936507936507936
  	class: 顶点  	d: 9  	pt: 1.6703296703296702  	diff:  极限AB0.8351648351648352 终极A0.0989010989010989 终端A0.3956043956043956 顶点A0.24175824175824176 顶峰A0.01098901098901099 尖峰A0.08791208791208792
  	class: 不同  	d: 19  	pt: 1.6533333333333333  	diff:  差A0.7866666666666666 例外AB0.8266666666666667 各异A0.02666666666666667 异A0.013333333333333334
  	class: 返回  	d: 7  	pt: 1.653179190751445  	diff:  回来A0.046242774566473986 回到AB0.5105973025048169 返回A0.7803468208092486 回去AB0.3159922928709056
  	class: 表  	d: 4  	pt: 1.65  	diff:  表格A0.8 手表AB0.825 报表A0.025
  	class: 死  	d: 43  	pt: 1.649122807017544  	diff:  弱A0.7894736842105263 死亡AB0.8245614035087719 逝世A0.017543859649122806 死去A0.017543859649122806
  	class: 起源  	d: 12  	pt: 1.647058823529412  	diff:  来源A0.5294117647058824 来源于A0.20588235294117646 源于AB0.5049019607843137 源A0.04411764705882353 起源A0.04411764705882353 根源AB0.31862745098039214
  	class: 占有  	d: 8  	pt: 1.6455696202531647  	diff:  占用A0.379746835443038 占A0.43037974683544306 占据AB0.8227848101265822 霸占A0.012658227848101266
  	class: 借  	d: 3  	pt: 1.6444444444444444  	diff:  借用AB0.8222222222222222 假A0.8222222222222222
  	class: 景象  	d: 10  	pt: 1.6375  	diff:  现象AB0.5125 场景A0.76875 情景AB0.30624999999999997 状况A0.041666666666666664 气象A0.004166666666666667 景象A0.004166666666666667
  	class: 害怕  	d: 50  	pt: 1.6363636363636362  	diff:  害怕A0.8181818181818182 恐怖AB0.40909090909090906 惧怕AB0.40909090909090906
  	class: 出版  	d: 2  	pt: 1.6363636363636362  	diff:  出版A0.8181818181818182 问世AB0.8181818181818181
  	class: 开始  	d: 24  	pt: 1.6173913043478259  	diff:  开端A0.034782608695652174 开AB0.808695652173913 初始A0.7130434782608696 开头A0.043478260869565216 启幕A0.008695652173913044 启A0.008695652173913044
  	class: 部件  	d: 4  	pt: 1.6  	diff:  部件A0.4 构件A0.4 元件AB0.8
  	class: 扮演  	d: 6  	pt: 1.6  	diff:  扮演AB0.8 饰B0.4 饰演B0.4
  	class: 生效  	d: 5  	pt: 1.6  	diff:  奏效A0.8 生效AB0.3 见效B0.5
  	class: 创建者  	d: 8  	pt: 1.5999999999999999  	diff:  缔造者A0.2 奠基人AB0.8 创作者A0.4 创建人A0.06666666666666667 创建者A0.13333333333333333
  	class: 结束  	d: 38  	pt: 1.5905511811023623  	diff:  结束A0.6220472440944882 完AB0.7952755905511811 截止A0.07086614173228346 结A0.031496062992125984 告终A0.007874015748031496 终结A0.015748031496062992 完毕A0.023622047244094488 利落A0.007874015748031496 完结A0.007874015748031496 收A0.007874015748031496
  	class: 长久  	d: 39  	pt: 1.5789473684210527  	diff:  久A0.5 遥远AB0.7894736842105263 悠久A0.02631578947368421 漫长A0.2631578947368421
  	class: 繁忙  	d: 26  	pt: 1.5555555555555558  	diff:  繁忙A0.5555555555555556 忙于A0.1111111111111111 忙碌A0.1111111111111111 忙AB0.7777777777777778
  	class: 放大  	d: 8  	pt: 1.5529411764705885  	diff:  放大AB0.7764705882352941 推广A0.5764705882352941 放A0.09411764705882353 加大A0.09411764705882353 放开A0.011764705882352941
  	class: 增强  	d: 9  	pt: 1.5522388059701493  	diff:  提高A0.44136460554371004 增强A0.3347547974413646 增长AB0.7761194029850746
  	class: 希望  	d: 23  	pt: 1.549579831932773  	diff:  希望A0.692436974789916 期望AB0.2747899159663866 期待A0.043697478991596636 意在A0.005042016806722689 梦想A0.021848739495798318 期A0.011764705882352941 指望B0.5
  	class: 赚  	d: 16  	pt: 1.5384615384615385  	diff:  赚A0.23076923076923078 获利A0.15384615384615385 赚取A0.07692307692307693 挣A0.07692307692307693 盈利AB0.34615384615384615 挣钱A0.15384615384615385 赚钱AB0.4230769230769231 致富A0.07692307692307693
  	class: 违背  	d: 9  	pt: 1.5384615384615383  	diff:  背离A0.3076923076923077 违背AB0.7692307692307692 违反A0.46153846153846156
  	class: 货币  	d: 5  	pt: 1.5308641975308643  	diff:  货币A0.7654320987654321 币AB0.7654320987654322
  	class: 诞生  	d: 7  	pt: 1.5306122448979593  	diff:  出生AB0.4387755102040816 诞生AB0.326530612244898 落地A0.7653061224489796
  	class: 困难  	d: 58  	pt: 1.5294117647058822  	diff:  棘手A0.39215686274509803 费时A0.13725490196078433 费劲A0.0392156862745098 费力A0.09803921568627451 艰苦A0.0392156862745098 艰难AB0.7647058823529411 紧A0.058823529411764705
  	class: 创立  	d: 11  	pt: 1.5265486725663715  	diff:  创建A0.7367256637168141 创造AB0.6890012642225031 创立AB0.07427307206068268 创办A0.01327433628318584 开创A0.01327433628318584
  	class: 贴  	d: 9  	pt: 1.5  	diff:  粘贴A0.75 贴AB0.75
  	class: 迷路  	d: 4  	pt: 1.5  	diff:  迷路AB0.25 迷失A0.5 迷航B0.75
  	class: 因素  	d: 3  	pt: 1.5  	diff:  因素AB0.75 要素A0.06493506493506493 元素A0.685064935064935
  	class: 摧毁  	d: 5  	pt: 1.5  	diff:  摧毁A0.75 毁灭AB0.75
  	class: 逃避  	d: 11  	pt: 1.5  	diff:  规避AB0.75 躲避A0.125 避开A0.375 逃避A0.125 回避A0.125
  	class: 榜样  	d: 10  	pt: 1.4901960784313726  	diff:  样子AB0.7450980392156863 指南A0.6274509803921569 样板A0.0392156862745098 典范A0.0784313725490196
  	class: 写作  	d: 22  	pt: 1.4883720930232558  	diff:  写作A0.6744186046511628 撰写AB0.2674418604651163 撰文A0.06976744186046512 著作AB0.47674418604651164
  	class: 拿  	d: 12  	pt: 1.4736842105263157  	diff:  持A0.47368421052631576 手持A0.21052631578947367 拿出AB0.736842105263158 握有A0.05263157894736842
  	class: 好  	d: 49  	pt: 1.4486486486486485  	diff:  优秀A0.43243243243243246 佳A0.032432432432432434 优异A0.032432432432432434 理想AB0.7243243243243243 出色A0.11891891891891893 精彩A0.02702702702702703 漂亮A0.032432432432432434 拔尖A0.005405405405405406 精美A0.005405405405405406 出彩A0.005405405405405406 优A0.032432432432432434
  	class: 频率  	d: 2  	pt: 1.4444444444444444  	diff:  效率A0.7222222222222222 频率AB0.7222222222222222
  	class: 文件  	d: 6  	pt: 1.430921052631579  	diff:  文件AB0.7154605263157895 文本A0.7154605263157895
  	class: 度过  	d: 4  	pt: 1.4285714285714286  	diff:  度过AB0.7142857142857143 度A0.7142857142857143
  	class: 超过  	d: 10  	pt: 1.4  	diff:  超出A0.52 超乎A0.12 胜出A0.06 高于AB0.7
  	class: 不料  	d: 22  	pt: 1.3877551020408165  	diff:  奇怪A0.3469387755102041 意外AB0.6938775510204082 想得到A0.04081632653061224 飞A0.30612244897959184
  	class: 讲话  	d: 18  	pt: 1.3869047619047619  	diff:  云A0.35119047619047616 讲A0.28273809523809523 说话AB0.6934523809523809 讲话A0.020833333333333332 谈A0.03571428571428571 讲讲A0.002976190476190476
  	class: 越过  	d: 4  	pt: 1.3636363636363638  	diff:  穿越AB0.6818181818181819 穿过A0.6818181818181818
  	class: 结果  	d: 8  	pt: 1.3599999999999999  	diff:  结局A0.08 下文AB0.6799999999999999 产物A0.24 后果A0.36
  	class: 推动  	d: 12  	pt: 1.3548387096774195  	diff:  有助于A0.32974910394265233 推A0.1935483870967742 推动AB0.6774193548387097 推进A0.13620071684587814 推向A0.017921146953405017
  	class: 方法  	d: 11  	pt: 1.3528552887735237  	diff:  方式AB0.6764276443867618 方法AB0.6494970798182998 办法A0.01654769630110318 艺术A0.009085009733939001 措施A0.0012978585334198572
  	class: 游戏  	d: 24  	pt: 1.3388888888888888  	diff:  玩耍A0.004166666666666667 游戏AB0.6611111111111111 玩AB0.6694444444444445 耍A0.004166666666666667
  	class: 增长  	d: 6  	pt: 1.3387096774193548  	diff:  添加A0.6290322580645161 长AB0.6693548387096775 日益增长A0.010752688172043012 累加A0.02956989247311828
  	class: 酒店  	d: 9  	pt: 1.3333333333333335  	diff:  酒吧A0.6666666666666666 酒店AB0.6666666666666667
  	class: 狂澜  	d: 10  	pt: 1.3333333333333335  	diff:  风暴AB0.6666666666666667 风口浪尖A0.6666666666666666
  	class: 渴望  	d: 25  	pt: 1.3333333333333335  	diff:  期盼A0.6666666666666666 渴望AB0.6666666666666667
  	class: 携带  	d: 11  	pt: 1.3333333333333335  	diff:  携带AB0.6666666666666667 带入A0.5 带走A0.16666666666666666
  	class: 不能  	d: 9  	pt: 1.3333333333333335  	diff:  未能A0.6666666666666666 无从AB0.6666666666666667
  	class: 打算  	d: 7  	pt: 1.332394366197183  	diff:  打算AB0.6661971830985915 试图AB0.6661971830985915
  	class: 依靠  	d: 32  	pt: 1.3192612137203168  	diff:  依赖A0.36147757255936674 依赖性A0.05804749340369393 指AB0.6596306068601583 借助A0.13192612137203166 负A0.10290237467018469 借助于A0.005277044854881266
  	class: 当做  	d: 9  	pt: 1.3043478260869565  	diff:  用作AB0.2246376811594203 看作A0.35507246376811596 当作AB0.427536231884058 看做A0.06521739130434782 看成A0.14492753623188406 视作A0.050724637681159424 当做A0.036231884057971016
  	class: 规则  	d: 9  	pt: 1.2922374429223744  	diff:  规则AB0.5844748858447488 轨道AB0.6461187214611872 规约A0.00684931506849315 守则A0.00684931506849315 准则A0.04794520547945205
  	class: 争论  	d: 9  	pt: 1.2857142857142856  	diff:  争议A0.6428571428571429 争论AB0.6428571428571428
  	class: 释放  	d: 13  	pt: 1.2727272727272727  	diff:  释放AB0.303030303030303 放出A0.6363636363636364 假释B0.3333333333333333
  	class: 建筑  	d: 15  	pt: 1.2666666666666666  	diff:  建筑AB0.10952380952380952 建造AB0.6333333333333334 建A0.47619047619047616 构筑A0.023809523809523808 构A0.023809523809523808
  	class: 遭受  	d: 20  	pt: 1.2585669781931463  	diff:  面临AB0.470404984423676 备受A0.06542056074766354 遭遇A0.037383177570093455 饱受A0.028037383177570093 中A0.018691588785046728 遭受AB0.6292834890965732 遭A0.009345794392523364
  	class: 小  	d: 12  	pt: 1.2577319587628866  	diff:  最小A0.6185567010309279 很小AB0.6288659793814433 纤维A0.010309278350515464
  	class: 艰巨  	d: 7  	pt: 1.25  	diff:  繁重A0.625 艰巨AB0.625
  	class: 有  	d: 28  	pt: 1.2459016393442626  	diff:  保有A0.00234192037470726 具备A0.5011709601873536 拥有AB0.5213700234192038 持有A0.03044496487119438 富有AB0.1015807962529274 颇具A0.02107728337236534 具A0.053864168618266976 享有A0.00936768149882904 兼有A0.00234192037470726 存有A0.00234192037470726
  	class: 重要  	d: 29  	pt: 1.2153846153846155  	diff:  关键AB0.6076923076923078 重点A0.3333333333333333 重要性A0.2282051282051282 着重A0.046153846153846156
  	class: 流  	d: 7  	pt: 1.2142857142857144  	diff:  注AB0.6071428571428572 流A0.6071428571428571
  	class: 惊奇  	d: 20  	pt: 1.2054794520547945  	diff:  惊讶AB0.6027397260273972 好奇A0.2054794520547945 惊奇A0.0821917808219178 奇异A0.3150684931506849
  	class: 范围  	d: 6  	pt: 1.2037037037037035  	diff:  规模A0.5833333333333334 层面AB0.6018518518518519 局面A0.013888888888888888 框框A0.004629629629629629
  	class: 动火  	d: 24  	pt: 1.2000000000000002  	diff:  生气A0.2 恼火A0.4 火AB0.6
  	class: 思想意识  	d: 5  	pt: 1.2  	diff:  观念A0.6 价值观AB0.6
  	class: 论证  	d: 4  	pt: 1.1428571428571428  	diff:  实证A0.5714285714285714 论证AB0.07142857142857145 论据B0.5
  	class: 可以  	d: 7  	pt: 1.1428571428571428  	diff:  足以A0.5714285714285714 得以AB0.5714285714285714
  	class: 愚笨  	d: 32  	pt: 1.1428571428571426  	diff:  愚蠢AB0.5714285714285714 蠢A0.14285714285714285 蠢笨A0.14285714285714285 笨A0.14285714285714285 傻A0.14285714285714285
  	class: 证明  	d: 14  	pt: 1.1167315175097274  	diff:  验证A0.5077821011673151 证明AB0.5583657587548638 认证A0.017509727626459144 证实A0.021400778210116732 证A0.007782101167315175 征A0.0019455252918287938 作证A0.0019455252918287938
  	class: 混淆  	d: 11  	pt: 1.0485436893203883  	diff:  混淆AB0.5242718446601942 模糊A0.5242718446601942
  	class: 下降  	d: 23  	pt: 1.0441558441558438  	diff:  降低A0.43896103896103894 下降AB0.027272727272727282 降A0.06753246753246753 下滑AB0.4948051948051948 下跌A0.01038961038961039 退A0.0025974025974025974 降落A0.0025974025974025974
  	class: 位于  	d: 12  	pt: 1.0425531914893618  	diff:  放在A0.5 位于AB0.5212765957446808 居A0.010638297872340425 位居A0.010638297872340425
  	class: 处于  	d: 9  	pt: 1.0303030303030303  	diff:  处于AB0.5151515151515151 处A0.5151515151515151
  	class: 协商  	d: 25  	pt: 1.0153846153846153  	diff:  协议AB0.5076923076923077 商A0.046153846153846156 说道A0.4153846153846154 协商A0.03076923076923077 议A0.015384615384615385
  	class: 固定  	d: 13  	pt: 1.0044444444444445  	diff:  固定A0.4622222222222222 定位AB0.5022222222222222 定点A0.017777777777777778 固化A0.022222222222222223
  	class: 反而  	d: 7  	pt: 1.0  	diff:  反AB0.5 倒A0.4166666666666667 倒转A0.08333333333333333
  	class: 漏  	d: 3  	pt: 1.0  	diff:  渗透AB0.5 渗漏A0.5
  	class: 艰苦  	d: 31  	pt: 1.0  	diff:  苦AB0.5 艰辛A0.5
  	class: 骄傲  	d: 63  	pt: 1.0  	diff:  傲慢AB0.5 自大B0.5
  	class: 愿意  	d: 14  	pt: 1.0  	diff:  乐意AB0.5 乐于A0.16666666666666666 愿A0.3333333333333333
  	class: 慢  	d: 27  	pt: 1.0  	diff:  慢AB0.4 迟滞A0.05 减缓A0.05 放缓B0.5
  	class: 确信  	d: 7  	pt: 1.0  	diff:  确信A0.5 坚信AB0.5
  	class: 断言  	d: 2  	pt: 1.0  	diff:  断言A0.5 预言AB0.5
  	class: 开花  	d: 12  	pt: 1.0  	diff:  开放AB0.5 开花B0.5
  	class: 更新  	d: 5  	pt: 1.0  	diff:  创新AB0.5 翻新B0.5
  	class: 共存  	d: 13  	pt: 1.0  	diff:  共存AB0.5 依存A0.25 并存A0.25
  	class: 内容  	d: 5  	pt: 0.9874608150470219  	diff:  内容AB0.49373040752351094 情AB0.16039707419017762 情节B0.3333333333333333
  	class: 从事  	d: 10  	pt: 0.972972972972973  	diff:  致力AB0.4864864864864865 事AB0.41891891891891897 从业A0.013513513513513514 业A0.05405405405405406
  	class: 编辑  	d: 18  	pt: 0.9615384615384615  	diff:  编写AB0.21153846153846156 编辑A0.23076923076923078 编写者A0.019230769230769232 修AB0.4807692307692308 编排A0.009615384615384616 编者A0.009615384615384616
  	class: 正确  	d: 18  	pt: 0.9541284403669724  	diff:  不错A0.3256880733944954 科学AB0.1009174311926605 不易A0.01834862385321101 没错AB0.47706422018348627 正确性A0.03211009174311927
  	class: 停止  	d: 26  	pt: 0.9508196721311475  	diff:  停止AB0.04098360655737704 终止A0.4262295081967213 停A0.03278688524590164 住AB0.4344262295081967 平息A0.01639344262295082
  	class: 限度  	d: 10  	pt: 0.9411764705882353  	diff:  限度A0.47058823529411764 界限AB0.47058823529411764
  	class: 区分  	d: 7  	pt: 0.9385474860335196  	diff:  区别A0.4581005586592179 区分AB0.4692737430167597 有别于A0.0111731843575419
  	class: 掉转  	d: 11  	pt: 0.9361702127659574  	diff:  回AB0.46808510638297873 翻转A0.2553191489361702 扭曲A0.14893617021276595 拨A0.0425531914893617 转头A0.02127659574468085
  	class: 涉及  	d: 14  	pt: 0.9307146753955264  	diff:  涉及AB0.12784142571376614 提到AB0.25131842153118744 关系AB0.32114929987270413 关乎AB0.10292780505546462 干A0.014729950900163666 涉A0.0016366612111292963 事关B0.1111111111111111
  	class: 制造  	d: 6  	pt: 0.9285714285714286  	diff:  制造AB0.4642857142857143 打造A0.4642857142857143
  	class: 充满  	d: 14  	pt: 0.9130434782608695  	diff:  充满AB0.32608695652173914 满载A0.043478260869565216 充斥A0.043478260869565216 载A0.043478260869565216 括AB0.4565217391304348
  	class: 忧虑  	d: 7  	pt: 0.8888888888888888  	diff:  担忧AB0.38888888888888884 焦虑AB0.4444444444444444 堪忧A0.05555555555555555
  	class: 广泛  	d: 14  	pt: 0.8802395209580838  	diff:  常见AB0.3143712574850299 宽泛A0.04790419161676647 广阔A0.059880239520958084 广AB0.4401197604790419 宽广A0.017964071856287425
  	class: 界限  	d: 6  	pt: 0.875  	diff:  界AB0.4375 壁垒A0.15625 鸿沟A0.1875 界线A0.0625 分野A0.03125
  	class: 工作  	d: 13  	pt: 0.8663366336633662  	diff:  事情AB0.19801980198019797 业务A0.4207920792079208 做事AB0.23514851485148514 干活A0.0024752475247524753 事务A0.007425742574257425 行事A0.0024752475247524753
  	class: 失败  	d: 26  	pt: 0.8648648648648649  	diff:  失败AB0.32432432432432434 挫败A0.04054054054054054 砸AB0.43243243243243246 黄A0.06756756756756757
  	class: 见解  	d: 8  	pt: 0.8545454545454544  	diff:  观点AB0.2818181818181818 理念AB0.14545454545454545 看法A0.12727272727272726 视角A0.2 见解A0.05909090909090909 意见A0.031818181818181815 眼光A0.00909090909090909
  	class: 全面  	d: 29  	pt: 0.838235294117647  	diff:  完美AB0.4191176470588235 完善A0.3602941176470588 圆A0.051470588235294115 健全A0.007352941176470588
  	class: 完整  	d: 10  	pt: 0.8373493975903614  	diff:  整体A0.3132530120481928 完整AB0.4186746987951807 总体A0.10542168674698796
  	class: 实行  	d: 11  	pt: 0.8307692307692306  	diff:  执行AB0.23076923076923073 实践A0.11076923076923077 实施A0.07076923076923076 行AB0.41538461538461535 执A0.0015384615384615385 实行A0.0015384615384615385
  	class: 简单  	d: 21  	pt: 0.8301647655259824  	diff:  简单AB0.3580481622306717 省略A0.0076045627376425855 简要AB0.41508238276299114 简短A0.01394169835234474 简略A0.0038022813688212928 精炼A0.01394169835234474 简练A0.0012674271229404308 扼要A0.0012674271229404308 粗略A0.008871989860583017 简A0.0038022813688212928 略去A0.0012674271229404308 简易A0.0012674271229404308
  	class: 事物  	d: 3  	pt: 0.8125  	diff:  物A0.40625 事物AB0.40625
  	class: 效用  	d: 12  	pt: 0.8056628056628055  	diff:  效果AB0.351029601029601 功能AB0.0035392535392535507 效益A0.02027027027027027 效应AB0.3992921492921493 效用A0.015765765765765764 职能A0.0045045045045045045 效能A0.0045045045045045045 功效A0.0022522522522522522 成效A0.0045045045045045045
  	class: 作战  	d: 8  	pt: 0.8  	diff:  作战A0.2 战AB0.4 征战A0.2
  	class: 胜任  	d: 4  	pt: 0.8  	diff:  不负A0.4 胜任AB0.4
  	class: 沿用  	d: 4  	pt: 0.8  	diff:  套用AB0.4 沿用A0.4
